netscalerHttpClientInteractionEndTime,5951,168,string
netscalerHttpResRcvLB,5951,169,unsigned64
netscalerHttpResForwLB,5951,170,unsigned64
netscalerAppUnitNameAppId,5951,171,unsigned32
netscalerDbLoginFlags,5951,172,unsigned32
netscalerDbReqType,5951,173,unsigned8
netscalerDbProtocolName,5951,174,unsigned8
netscalerDbUserName,5951,175,string
netscalerDbDatabaseName,5951,176,string
netscalerDbCltHostName,5951,177,string
netscalerDbReqString,5951,178,string
netscalerDbRespStatusString,5951,179,string
netscalerDbRespStatus,5951,180,unsigned64
netscalerDbRespLength,5951,181,unsigned64
netscalerClientRTT,5951,182,unsigned32
netscalerHttpContentType,5951,183,string
netscalerHttpReqAuthorization,5951,185,string
netscalerHttpReqVia,5951,186,string
netscalerHttpResLocation,5951,187,string
netscalerHttpResSetCookie,5951,188,string
netscalerHttpResSetCookie2,5951,189,string
netscalerHttpReqXForwardedFor,5951,190,string
netscalerConnectionChainID,5951,192,octetarray
netscalerConnectionChainHopCount,5951,193,unsigned64
netscalerICASessionGuid,5951,200,octetarray
netscaleIcaClientVersion,5951,201,string
netscalerIcaClientType,5951,202,unsigned16
netscalerIcaClientIP,5951,203,ipv4Address
netscalerIcaClientHostName,5951,204,string
netscalerAaaUsername,5951,205,string
netscalerIcaDomainName,5951,207,string
netscalerIcaClientLauncher,5951,208,unsigned16
netscalerIcaSessionSetupTime,5951,209,unsigned32
netscalerIcaServerName,5951,210,string
netscalerIcaSessionReconnects,5951,214,unsigned8
netscalerIcaRTT,5951,215,unsigned32
netscalerIcaClientsideRXBytes,5951,216,unsigned32
netscalerIcaClientsideTXBytes,5951,217,unsigned32
netscalerIcaClientsidePacketsRetransmit,5951,219,unsigned16
netscalerIcaServersidePacketsRetransmit,5951,220,unsigned16
netscalerIcaClientsideRTT,5951,221,unsigned32
netscalerIcaServersideRTT,5951,222,unsigned32
netscalerIcaSessionUpdateBeginSec,5951,223,unsigned32
netscalerIcaSessionUpdateEndSec,5951,224,unsigned32
netscalerIcaChannelId1,5951,225,unsigned32
netscalerIcaChannelId1Bytes,5951,226,unsigned32
netscalerIcaChannelId2,5951,227,unsigned32
netscalerIcaChannelId2Bytes,5951,228,unsigned32
netscalerIcaChannelId3,5951,229,unsigned32
netscalerIcaChannelId3Bytes,5951,230,unsigned32
netscalerIcaChannelId4,5951,231,unsigned32
netscalerIcaChannelId4Bytes,5951,232,unsigned32
netscalerIcaChannelId5,5951,233,unsigned32
netscalerIcaChannelId5Bytes,5951,234,unsigned32
netscalerIcaConnectionPriority,5951,235,unsigned16
netscalerApplicationStartupDuration,5951,236,unsigned32
netscalerIcaLaunchMechanism,5951,237,unsigned16
netscalerIcaApplicationName,5951,238,string
netscalerApplicationStartupTime,5951,239,unsigned32
netscalerIcaApplicationTerminationType,5951,240,unsigned16
netscalerIcaApplicationTerminationTime,5951,241,unsigned32
netscalerIcaSessionEndTime,5951,242,unsigned32
netscalerIcaClientsideJitter,5951,243,unsigned32
netscalerIcaServersideJitter,5951,244,unsigned32
netscalerIcaAppProcessID,5951,245,unsigned32
netscalerIcaAppModulePath,5951,246,string
netscalerIcaDeviceSerialNo,5951,247,unsigned32
netscalerMsiClientCookie,5951,248,octetarray
netscalerIcaFlags,5951,249,unsigned64
netscalerIcaUsername,5951,250,string
netscalerLicenseType,5951,251,unsigned8
netscalerMaxLicenseCount,5951,252,unsigned64
netscalerCurrentLicenseConsumed,5951,253,unsigned64
netscalerIcaNetworkUpdateStartTime,5951,254,unsigned32
netscalerIcaNetworkUpdateEndTime,5951,255,unsigned32
netscalerIcaClientsideSRTT,5951,256,unsigned32
netscalerIcaServersideSRTT,5951,257,unsigned32
netscalerIcaClientsideDelay,5951,258,unsigned32
netscalerIcaServersideDelay,5951,259,unsigned32
netscalerIcaHostDelay,5951,260,unsigned32
netscalerIcaClientSideWindowSize,5951,261,unsigned16
netscalerIcaServerSideWindowSize,5951,262,unsigned16
netscalerIcaClientSideRTOCount,5951,263,unsigned16
netscalerIcaServerSideRTOCount,5951,264,unsigned16
netscalerIcaL7ClientLatency,5951,265,unsigned32
netscalerIcaL7ServerLatency,5951,266,unsigned32
netscalerHttpDomainName,5951,267,string
netscalerCacheRedirClientConnectionCoreID,5951,268,unsigned32
netscalerCacheRedirClientConnectionTransactionID,5951,269,unsigned32
netscalerUnknown270,5951,270,unsigned32
netscalerUnknown271,5951,271,unsigned32
netscalerUnknown272,5951,272,unsigned32
netscalerUnknown273,5951,273,unsigned32
netscalerUnknown274,5951,274,unsigned32
netscalerUnknown275,5951,275,unsigned32
netscalerUnknown276,5951,276,unsigned32
netscalerUnknown277,5951,277,unsigned32
netscalerUnknown278,5951,278,unsigned32
netscalerUnknown279,5951,279,unsigned32
netscalerUnknown280,5951,280,unsigned32
netscalerUnknown281,5951,281,unsigned32
netscalerUnknown282,5951,282,unsigned32
netscalerUnknown283,5951,283,unsigned32
netscalerUnknown284,5951,284,unsigned32
netscalerUnknown285,5951,285,unsigned32
netscalerUnknown286,5951,286,unsigned32
netscalerUnknown287,5951,287,unsigned32
netscalerUnknown288,5951,288,unsigned32
netscalerUnknown289,5951,289,unsigned32
netscalerUnknown290,5951,290,unsigned32
netscalerUnknown291,5951,291,unsigned32
netscalerUnknown292,5951,292,unsigned32
netscalerUnknown293,5951,293,unsigned32
netscalerUnknown294,5951,294,unsigned32
netscalerUnknown295,5951,295,unsigned32
netscalerUnknown296,5951,296,unsigned32
netscalerUnknown297,5951,297,unsigned32
netscalerUnknown298,5951,298,unsigned32
netscalerUnknown299,5951,299,unsigned32
netscalerUnknown300,5951,300,unsigned32
netscalerUnknown301,5951,301,unsigned32
netscalerUnknown302,5951,302,unsigned32
netscalerUnknown303,5951,303,unsigned32
netscalerUnknown304,5951,304,unsigned32
netscalerUnknown305,5951,305,unsigned32
netscalerUnknown306,5951,306,unsigned32
netscalerUnknown307,5951,307,unsigned32
netscalerUnknown308,5951,308,unsigned32
netscalerUnknown309,5951,309,unsigned32
netscalerUnknown310,5951,310,unsigned32
netscalerUnknown311,5951,311,unsigned32
netscalerUnknown312,5951,312,unsigned32
netscalerUnknown313,5951,313,unsigned32
netscalerUnknown314,5951,314,unsigned32
netscalerUnknown315,5951,315,unsigned32
netscalerUnknown316,5951,316,string
netscalerUnknown317,5951,317,unsigned32
netscalerUnknown318,5951,318,unsigned32
netscalerUnknown319,5951,319,string
netscalerUnknown320,5951,320,unsigned16
netscalerUnknown321,5951,321,unsigned32
netscalerUnknown322,5951,322,unsigned32
netscalerUnknown323,5951,323,unsigned16
netscalerUnknown324,5951,324,unsigned16
netscalerUnknown325,5951,325,unsigned16
netscalerUnknown326,5951,326,unsigned16
netscalerUnknown327,5951,327,unsigned32
netscalerUnknown328,5951,328,unsigned16
netscalerUnknown329,5951,329,unsigned16
netscalerUnknown330,5951,330,unsigned16
netscalerUnknown331,5951,331,unsigned16
netscalerUnknown332,5951,332,unsigned32
netscalerUnknown333,5951,333,string
netscalerUnknown334,5951,334,string
netscalerUnknown335,5951,335,unsigned32
netscalerUnknown336,5951,336,unsigned32
netscalerUnknown337,5951,337,unsigned32
netscalerUnknown338,5951,338,unsigned32
netscalerUnknown339,5951,339,unsigned32
netscalerUnknown340,5951,340,unsigned32
netscalerUnknown341,5951,341,unsigned32
netscalerUnknown342,5951,342,unsigned32
netscalerUnknown343,5951,343,unsigned32
netscalerUnknown344,5951,344,unsigned32
netscalerUnknown345,5951,345,unsigned32
netscalerUnknown346,5951,346,unsigned32
netscalerUnknown347,5951,347,unsigned32
netscalerUnknown348,5951,348,unsigned16
netscalerUnknown349,5951,349,string
netscalerUnknown350,5951,350,string
netscalerUnknown351,5951,351,string
netscalerUnknown352,5951,352,unsigned16
netscalerUnknown353,5951,353,unsigned32
netscalerUnknown354,5951,354,unsigned32
netscalerUnknown355,5951,355,unsigned32
netscalerUnknown356,5951,356,unsigned32
netscalerUnknown357,5951,357,unsigned32
netscalerUnknown363,5951,363,octetarray
netscalerUnknown383,5951,383,octetarray
netscalerUnknown391,5951,391,unsigned32
netscalerUnknown398,5951,398,unsigned32
netscalerUnknown404,5951,404,unsigned32
netscalerUnknown405,5951,405,unsigned32
netscalerUnknown427,5951,427,unsigned64
netscalerUnknown429,5951,429,unsigned8
netscalerUnknown432,5951,432,unsigned8
netscalerUnknown433,5951,433,unsigned8
netscalerUnknown453,5951,453,unsigned64
netscalerUnknown465,5951,465,unsigned32
ingressAclID,0,33000,aclid
egressAclID,0,33001,aclid
fwExtEvent,0,33002,unsigned16
username,0,40000,string
XlateSourceAddressIPV4,0,40001,ipv4Address
XlateDestinationAddressIPV4,0,40002,ipv4Address
XlateSourcePort,0,40003,unsigned16
XlateDestinationPort,0,40004,unsigned16
FirewallEvent,0,40005,unsigned8
